ID,POSTAL,X-COORDINATES,Y-COORDINATES
714,160071,27909.3026,29630.9785
715,160072,27853.0773,29586.4857
716,160073,27904.0605,29534.0945
717,160074,27932.2104,29486.1672
718,160075,27879.2737,29444.42
719,160076,27828.5658,29497.2272
720,160077,27270.5821,30392.6504
721,160078,27743.5804,29529.2013
722,160079,27719.8399,29442.7904
723,160080,27768.2403,29481.038
724,160081,27951.0566,29448.5458
725,160082,28040.3428,29519.0949
726,160087,27920.9556,30340.123
727,160094,27990.5343,30069.5901
728,160095,27947.647,30098.5861
729,160104,27014.2163,29274.7748
730,160105,27067.028,29231.3455
731,160106,27021.1873,29188.2425
732,160107,27047.2511,29143.3838
733,160108,27123.3315,29075.1795
734,160109,27195.1743,29098.0269
735,160110,27263.2049,29133.5038
736,160111,27206.1856,29196.9274
737,160113,27154.7358,29192.119
738,160115,27239.9578,29280.993
739,160116,27258.934,29317.3714
740,160117,27278.9347,29350.1696
741,160120,27406.2295,29488.1704
742,160121,27462.7483,29460.2681
743,160122,27507.5816,29536.4731
744,160123,27515.4495,29587.3049
745,160124,27437.442,29595.433
746,160125,27422.338,29563.3213
747,160128,27506.0985,29340.9283
748,160129,27503.3723,29288.9136
749,160130,27550.3798,29205.8211
750,160131,27427.9448,29182.3627
751,160132,27441.9498,29021.8809
752,160133,27341.4144,29111.762
753,160134,27377.3366,29030.9289
754,160135,27306.2947,29006.6888
755,160136,27356.5841,28972.0735
756,160137,27292.2265,28956.5513
757,160138,27211.9429,28987.1044
758,160139,27272.8966,29059.5267
759,160140,27577.7302,28957.5328
760,160141,27490.3192,28845.7921
761,160142,27414.3393,28830.6035
762,160143,27630.8351,28916.5195
763,160144,27628.6586,28861.0513
764,160145,27688.0564,28862.1494
765,160146,27741.205,28912.3124
766,160147,27752.3504,28860.3177
767,160148,27729.0401,28816.7718
768,160149,27808.7596,28869.5728
769,160150,27789.3551,28838.2142
770,161001,28736.9381,30073.8914
771,161002,27410.9965,30458.916
772,161003,28676.0041,30067.4748
773,161004,27246.2495,30469.3659
774,161005,28528.4283,30032.5799
775,161006,27791.2938,30006.0647
776,161007,27749.7374,29840.1606
777,161008,27855.5296,29993.6984
778,161009,27680.5452,29842.5257
779,161010,27928.4603,29986.1248
780,161014,27875.2559,30035.4686
781,161017,27990.7348,29747.1226
782,161019,27920.0259,29768.891
783,161021,27871.2175,29762.7466
784,161023,27822.0221,29765.7468
785,161025,27773.2266,29759.6057
786,161029,27675.268,29756.4691
787,161034,27806.9763,29703.1475
788,161036,27746.6825,29701.2362
789,161038,27686.3699,29699.3268
790,161042,27808.6221,29651.7686
791,161044,27748.2959,29650.1805
792,161046,27800.9209,29604.1492
793,161048,27749.8451,29602.7871
794,161050,27689.1542,29612.5456
795,161052,27460.0697,30213.842
796,161053,27510.514,30193.8161
797,161054,27545.3479,30190.7507
798,161055,27546.7403,30274.5588
799,161056,27509.8365,30281.4879
800,161057,27458.5352,30282.4896
801,161058,27408.0827,30276.8069
802,161077,27800.1296,29544.7688
803,161078,27346.632,30411.4028
804,161079,27497.3101,30385.2683
805,161118,27146.0173,29318.4655
806,161120,27391.9203,29520.3989
807,161121,27427.9507,29454.5159
808,161126,27574.6244,29477.2794
809,161127,27581.6053,29378.4129
810,162001,27967.647,29840.0074
811,162002,27839.1199,29967.3105
812,162003,27887.704,29844.6347
813,162004,27768.5472,29982.1485
814,162005,27818.4944,29847.0285
815,162006,28456.1717,30000.5791
816,162008,28677.5967,29977.1974
817,162009,27481.4822,29916.3285
818,162010,28640.7329,29932.548
819,162011,28524.3722,29964.6262
820,162012,27940.1248,30024.7333
821,162013,28550.4428,29885.0439
822,162018,27745.5265,30056.9274
